,Teff,errTeff,vmic,errvmic,logg,errlogg,[AlI/H],e_[AlI/H],[CI/H],e_[CI/H],[CaI/H],e_[CaI/H],[CoI/H],e_[CoI/H],[CrI/H],e_[CrI/H],[CrII/H],e_[CrII/H],[CuI/H],e_[CuI/H],[FeI/H],e_[FeI/H],[FeII/H],e_[FeII/H],[MgI/H],e_[MgI/H],[MnI/H],e_[MnI/H],[NaI/H],e_[NaI/H],[NiI/H],e_[NiI/H],[NLTE_OI/H],[LTE_OI/H],e_[OI/H],[SI/H],e_[SI/H],[ScI/H],e_[ScI/H],[ScII/H],e_[ScII/H],[SiI/H],e_[SiI/H],[TiI/H],e_[TiI/H],[TiII/H],e_[TiII/H],[VI/H],e_[VI/H],[ZnI/H],e_[ZnI/H],[Fe/H],e_[Fe/H],[AlI/Fe],e_[AlI/Fe],[CI/Fe],e_[CI/Fe],[CaI/Fe],e_[CaI/Fe],[CoI/Fe],e_[CoI/Fe],[CrI/Fe],e_[CrI/Fe],[CrII/Fe],e_[CrII/Fe],[CuI/Fe],e_[CuI/Fe],[FeI/Fe],e_[FeI/Fe],[FeII/Fe],e_[FeII/Fe],[MgI/Fe],e_[MgI/Fe],[MnI/Fe],e_[MnI/Fe],[NaI/Fe],e_[NaI/Fe],[NiI/Fe],e_[NiI/Fe],[NLTE_OI/Fe],[LTE_OI/Fe],e_[OI/Fe],[SI/Fe],e_[SI/Fe],[ScI/Fe],e_[ScI/Fe],[ScII/Fe],e_[ScII/Fe],[SiI/Fe],e_[SiI/Fe],[TiI/Fe],e_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],[VI/Fe],e_[VI/Fe],[ZnI/Fe],e_[ZnI/Fe],[Fe/Fe],e_[Fe/Fe]
HIP10175,5716.864251937527,3.9136152741843895,0.9817859035867657,0.0239085087745973,4.481867648030745,0.0106485226534914,-0.055329268926862,0.0026083103705496,-0.0592252053355145,0.0073400829084899,-0.0200722068695995,0.0038150306809499,-0.0604039539081329,0.005036354379196,-0.0229068105592911,0.0034452672441356,-0.0277910879964598,0.004852452646807,-0.0580549245550268,0.0032584366240003,-0.0318227950148057,0.0027412629458965,-0.0325274780209926,0.0034094112178227,-0.0305612192451835,0.0026573571483829,-0.0459139766852752,0.0030171751499868,-0.0660566413602308,0.0141392590959193,-0.0532993959791657,0.0031675133680875,0.0069999999999996,-0.0165664067161413,0.0044590056781566,-0.0256649300086488,0.0083051267425479,-0.0507295130789955,0.0101917110483073,-0.0408204162147933,0.0047879744528279,-0.0371937922439489,0.0025794320914362,-0.0201625357837883,0.00427880711458,-0.0314104301941322,0.0035815416078257,-0.0401244601216528,0.0048641805692187,-0.0486464964338111,0.0026964131779381,-0.031926965546155,0.0031577151163064,-0.023402303380707,0.0030617825665145,-0.0272982397893595,0.0079960808085951,0.0118547586765554,0.0038144010795888,-0.0284769883619779,0.0044822309091297,0.0090201549868638,0.0029880824096233,0.0041358775496951,0.0045870432944606,-0.0261279590088718,0.0028200611863256,0.0001041705313492,0.0018093356997587,-0.0006005124748376,0.0027379688086931,0.0013657463009714,0.0030920583048033,-0.0139870111391202,0.0023518060760289,-0.0341296758140758,0.0142273203801548,-0.0213724304330107,0.0025860985043832,0.0389269655461546,0.0153605588300136,0.0054790557961052,0.0062620355375061,0.0088500080144941,-0.0188025475328405,0.0099767600683628,-0.0088934506686383,0.0042940056267488,-0.0052668266977939,0.0032717580866335,0.0117644297623666,0.0034856763006679,0.0005165353520227,0.0027731831294208,-0.0081974945754978,0.0040255661737673,-0.0167195308876561,0.002240986282517,0.0,0.0023973055818979
HIP101905,5909.358676747789,4.449427150333615,1.0866085741236364,0.0272628729921442,4.485305013645716,0.0115418650560497,0.061634246667702,0.0024161437540425,-0.0105713693141808,0.0091783065973802,0.0968127057520805,0.0036169493196898,0.0588374221295742,0.0052460700135203,0.0849500545322654,0.0032477275464965,0.0823030942984386,0.0046336802687147,0.0602724255869851,0.0085350267424449,0.0839642871298623,0.0032564234719573,0.0826040379776357,0.0036661624073303,0.0736475439033353,0.0022705917712802,0.0679425071035606,0.0050076983724318,0.0181222478369509,0.0073420599376905,0.0644999958682923,0.0033256750995594,0.0346666666666663,0.0498791627125652,0.0037951402277614,-0.0015082988720918,0.0197438692720128,0.0809469256012579,0.0074759818612885,0.076348326689876,0.0042586713842494,0.068465287297957,0.0026913704092677,0.0962629582135559,0.0045343112187,0.0840339743497244,0.0038493402140427,0.1045161978974239,0.0060297125251959,0.0471715955089152,0.0040525090565184,0.0837632068204027,0.0035236433982121,-0.0221289601527006,0.0028661321389667,-0.0943345761345835,0.0098467599079945,0.0130494989316777,0.003428506703411,-0.0249257846908284,0.0044243995506816,0.0011868477118626,0.00230571670936,-0.001460112521964,0.0041304614092349,-0.0234907812334176,0.0082764686855872,0.0002010803094596,0.0018941814867324,-0.0011591688427669,0.0025906528026857,-0.0101156629170673,0.0027065373073094,-0.015820699716842,0.0043765180618195,-0.0656409589834517,0.0074991371325076,-0.0192632109521103,0.0023095000112652,-0.0490965401537364,-0.0338840441078375,0.0051987328135067,-0.0852715056924945,0.020041018458541,-0.0028162812191448,0.0070104839807794,-0.0074148801305266,0.0033355069195227,-0.0152979195224456,0.0034169826193614,0.0124997513931532,0.0033268885210388,0.0002707675293217,0.0026209087182146,0.0207529910770212,0.0050531381630092,-0.0365916113114875,0.0034768711656876,0.0,0.0023328382181534
HIP102040,5840.074304457569,5.31938966979908,1.0110461977852616,0.0319434957507029,4.475033620988297,0.0130086658772404,-0.1052023408550488,0.0056281958685052,-0.131064596326898,0.007231640796213,-0.0694511751015357,0.0032760584585803,-0.0851395675565102,0.0079534917667642,-0.0885290144251662,0.0035025760461158,-0.0844957054914738,0.0061903287943082,-0.0538899651287835,0.0127368008574773,-0.0865570236638952,0.0037742246254983,-0.0876742086147561,0.0040559066839242,-0.0837540054634052,0.0022504228446875,-0.0846237867466944,0.0115014013457514,-0.1375980461206595,0.002568100604564,-0.1063431466839061,0.0040480739003781,-0.0623333333333331,-0.0678301284529716,0.0030372053005859,-0.139968306824566,0.0104738609811709,-0.0921253659547519,0.0073250441642898,-0.0644851715100182,0.0210881179173237,-0.0887490225189105,0.003834699498186,-0.0656137406422643,0.0049551840525563,-0.0716859306674953,0.0048834842169453,-0.0617216597076607,0.0068615824863953,-0.1096057186297149,0.0046381795523719,-0.0867221727435876,0.0039561599451164,-0.0184801681114612,0.0057216831435185,-0.0443424235833103,0.0082439296957049,0.0172709976420518,0.0026365149825946,0.0015826051870773,0.0069641455163662,-0.0018068416815786,0.0016168105080651,0.0022264672521137,0.0054138590215301,0.032832207614804,0.012351317981291,0.0001651490796923,0.0014344634231413,-0.0009520358711685,0.0020910939362435,0.0029681672801823,0.0024713810034515,0.0020983859968932,0.0110091188538304,-0.0508758733770719,0.0027297009054611,-0.0196209739403185,0.0024261519615626,0.0243888394102544,0.018892044290616,0.0050251928937529,-0.0532461340809784,0.0111304066924199,-0.0054031932111643,0.0063892996767175,0.0222370012335693,0.0207772947730206,-0.0020268497753229,0.004317763893001,0.0211084321013232,0.0029056936769686,0.0150362420760922,0.0031006720161451,0.0250005130359268,0.0052843514829778,-0.0228835458861273,0.0036460034849133,0.0,0.0018655521086353
HIP102152,5708.355637136235,4.585021842451574,1.0009777362929464,0.0269678141489919,4.329108000296282,0.0123110917477291,-0.0008954037242387,0.0017823075753369,-0.0104023375881361,0.0071234285239227,-0.0207619308853995,0.002862058962595,-0.0379010887216341,0.0064695734600827,-0.0241645963547059,0.003182368913937,-0.0204562949107436,0.004923178573312,-0.0367669218069602,0.0094948552926617,-0.0220870038323359,0.0032819559998365,-0.0238949172414376,0.0037593988324439,-0.0050280209962511,0.0083151677407013,-0.042150503400095,0.0043598562125757,-0.0381757462328337,0.0091598972768232,-0.0316541029643863,0.0035099965664179,-0.0049999999999996,0.0068351408270572,0.0032876585176941,-0.0296897703067118,0.0152883115074108,-0.0325894222978582,0.0088796339521101,-0.0186800413702026,0.0041051576283808,-0.017297943193814,0.0024565207579282,-0.017264259290575,0.0040954478989016,-0.0239814930688105,0.0040623914133201,-0.0372016293790647,0.0061197582452973,-0.019563051712426,0.0052467535791285,-0.0223542605971596,0.0035758951407876,0.0214588568729209,0.0024094081224108,0.0119519230090235,0.0079716424601376,0.00159232971176,0.0026949442067337,-0.0155468281244744,0.005806250206433,-0.0018103357575462,0.002270333718816,0.001897965686416,0.0044448754595049,-0.0144126612098006,0.0092506104671379,0.0002672567648237,0.0019995772536925,-0.001540656644278,0.0027238733894492,0.0173262396009085,0.0084651813417091,-0.0197962428029353,0.0036302361931536,-0.0158214856356741,0.0092971778773091,-0.0092998423672267,0.0026016414495671,0.01735426059716,0.0291894014242168,0.0048718765277999,-0.0073355097095521,0.0156700007402736,-0.0102351617006986,0.0084857795414538,0.003674219226957,0.0031076077696342,0.0050563174033456,0.0032647392838434,0.0050900013065846,0.0027173609990127,-0.0016272324716508,0.002900084409108,-0.0148473687819051,0.0051327955933495,0.0027912088847335,0.004841356827791,0.0,0.0024541538216393
HIP10303,5699.950814667704,4.860888077896132,0.967906864058656,0.0310469796196024,4.395708538232601,0.0122415141224338,0.1211022782018984,0.0021290099282271,0.0976858376736856,0.0055742928787671,0.0946882735782506,0.0026816475342338,0.0733431908683644,0.0058614002328395,0.0954915289481019,0.0036562100933249,0.096403515161182,0.0036547045519051,0.0260278631802271,0.0156352367107521,0.0939437760949291,0.0035721244168786,0.0938258776750956,0.0038698941038302,0.1004688397749251,0.0032248486427,0.0659050357137318,0.0096446694622393,0.0895823892541833,0.0099913680759937,0.1017217099833615,0.0035321331373455,0.075333333333333,0.0799246042596462,0.0025603153409724,0.075468614267933,0.0086486993431351,0.0891543185321432,0.0087558255404415,0.1064326522492683,0.0041813350600895,0.0988437773163616,0.0020889718804471,0.0989950062045276,0.0041980514234256,0.0947766336824588,0.0043329037291162,0.0630923150733054,0.0097840826779007,0.0953131327628297,0.0069897130053159,0.0939263476328667,0.0037601726764532,0.0271759305690316,0.0026971133784154,0.0037594900408189,0.0067321334299827,0.0007619259453839,0.002323562360041,-0.0205831567645023,0.0050737060103542,0.0015651813152351,0.0026795828020023,0.0024771675283152,0.0028151500470099,-0.0678984844526396,0.0154894985321795,1.7428462062402117e-05,0.0021107190895394,-0.000100469957771,0.0025984150109854,0.0065424921420584,0.0035676374630556,-0.0280213119191349,0.0092884852760326,-0.0043439583786833,0.0101292888064032,0.0077953623504948,0.0023850385124755,-0.0185930142995336,-0.0140017433732204,0.004532289399502,-0.0184577333649337,0.0093850550036908,-0.0047720291007234,0.0083301872533797,0.0125063046164016,0.0030364733118526,0.0049174296834949,0.0030569640078405,0.0050686585716609,0.0025925554735413,0.0008502860495921,0.0030603545633535,-0.0308340325595612,0.0091688426090147,0.001386785129963,0.0065847129166052,0.0,0.0024178251013982
HIP104045,5820.2206475271705,3.689716965797523,1.0339432957334536,0.0224522398340087,4.413460202120047,0.009281401863236,0.0397389336286697,0.002793656259794,0.0303348647572011,0.004991531607756,0.0514740287840918,0.0022215382803287,0.0379791258480055,0.0042876812041091,0.0471876651668466,0.0025710499143551,0.0536430575009567,0.0036111215676611,0.0322581324313008,0.0036841008786847,0.0486642728301903,0.0026869677591948,0.0504091628974162,0.0029055523666233,0.0422447641447838,0.0022570955481369,0.0408513734290219,0.0029508302293508,0.0306010844779155,0.0067842473381012,0.0467654426824399,0.0026791554052272,0.0219999999999996,0.0399241295140863,0.0026695851583805,0.0409391734334429,0.0197794886059945,0.0282341265843755,0.0096888171473778,0.0515061795918757,0.0048881414176797,0.0444037890109101,0.0020523065613975,0.0478406359660615,0.0036300905803215,0.0445702779710925,0.0032754424577536,0.0420333148098152,0.0043268193388157,0.0377281793442169,0.0025785402958271,0.0489222131009976,0.0028287519777225,-0.0091832794723279,0.0030022724872226,-0.0185873483437965,0.0057450929093987,0.0025518156830942,0.0019077336940234,-0.010943087252992,0.003546191231651,-0.0017345479341509,0.0016287713915916,0.0047208443999591,0.0030851496886738,-0.0166640806696967,0.0031900668177953,-0.0002579402708072,0.0014290976177003,0.0014869497964185,0.0018323710483428,-0.0066774489562137,0.0024825052178916,-0.0080708396719757,0.0020674669130712,-0.0183211286230821,0.0068705204437091,-0.0021567704185576,0.0016906782449799,-0.026922213100998,-0.0089980835869113,0.0038973770944369,-0.0079830396675546,0.0199674225922661,-0.020688086516622,0.0094285805800642,0.0025839664908781,0.0043137278678722,-0.0045184240900875,0.0026027079335125,-0.001081577134936,0.0025154845111081,-0.004351935129905,0.0021931887898218,-0.0068888982911823,0.0033144524240136,-0.0111940337567807,0.0018002703976447,0.0,0.001684661374445
HIP105184,5846.702065506353,4.2893440891515,1.044895760411545,0.0259932369213253,4.512957085568205,0.0110942644211941,-0.0316912093976053,0.0085178251443541,-0.1047569367386966,0.0205683011312663,0.0162821427907785,0.0040855722922128,-0.0277746466357033,0.0054514078334448,0.0064952879136857,0.0038712309966336,0.0051400350849256,0.0064047041694415,-0.0088939207026734,0.009871134917686,-0.001485496411887,0.003069202865039,-0.0050553302128664,0.0035366555443781,-0.0036107269807162,0.0027786966846956,-0.0129593939754707,0.0067906938378847,-0.0450715178998334,0.0045601925963275,-0.0307277542213242,0.0032781002274141,5.669654560650864e-16,-0.0075550790503845,0.0031893920478518,-0.0441249910964822,0.0096475134561932,0.0022865513909387,0.0075455375529109,-0.0163280506449218,0.0044479982512638,-0.0128361001313513,0.0028539368497336,0.0177378955855317,0.004312200572812,0.001358159758128,0.0036387120404972,0.0201801982941811,0.0047171463260542,-0.0321709318091999,0.0043033107411993,-0.0020132109737709,0.0033670703831659,-0.0296779984238344,0.0086307911760684,-0.1027437257649257,0.0208462259061343,0.0182953537645494,0.003922935086263,-0.0257614356619324,0.0046543002939731,0.0085084988874566,0.0031554010477181,0.0071532460586964,0.0060497584872969,-0.0068807097289025,0.0096284532859895,0.0005277145618839,0.001659009889508,-0.0030421192390955,0.0024577685845828,-0.0015975160069453,0.0030959844586206,-0.0109461830016998,0.0063451692151442,-0.0430583069260625,0.0047572030510682,-0.0287145432475533,0.0022836887089222,0.0020132109737714,-0.0055418680766135,0.0046673928271311,-0.0421117801227113,0.0101822873133956,0.0042997623647096,0.0070759482202657,-0.0143148396711509,0.0035828610639004,-0.0108228891575803,0.0034616599372641,0.0197511065593025,0.0030772472913935,0.0033713707318989,0.0023395508402505,0.0221934092679519,0.0033760652391793,-0.030157720835429,0.0037973168326176,0.0,0.0021677391189184
HIP108158,5649.073290061086,4.693154822477863,1.0181261150642706,0.0275435178351642,4.255471743251843,0.013013165124012,0.1417728166765805,0.0044411194248135,0.1308789793437991,0.0066641835090812,0.0557891745164071,0.004025893528684,0.0727824981121058,0.0073741728146399,0.0435915594849731,0.0032923263540599,0.0360933806388412,0.0063209028254426,0.0164878839459463,0.0307386744899669,0.0354354173230297,0.0033647518874395,0.0336254124519536,0.0039253266293641,0.0966286837948757,0.0148925441249542,-0.0042988480385276,0.0081021589541859,0.0584185453027083,0.0075967692836792,0.0463559125676963,0.0036446286921044,0.0846666666666665,0.107596857919379,0.0056952711577549,0.1098528859742566,0.0140597586160398,0.1043157979346331,0.0072636054645608,0.0814357196690886,0.0071241558433062,0.0786443994494334,0.0034065656042987,0.0841876692190254,0.0058059276640884,0.0696950501698816,0.0046697816073918,0.0453944205723928,0.0098153684832302,0.082234752525147,0.0111044921983549,0.0351678513855662,0.0037043168984771,0.1066049652910143,0.0048488261784794,0.0957111279582329,0.0076226693794408,0.0206213231308409,0.0040234485225946,0.0376146467265396,0.0069315705610247,0.0084237080994069,0.0026331162285503,0.000925529253275,0.0060455156907275,-0.0186799674396198,0.0306928018833059,0.0002675659374635,0.0023632760546808,-0.0015424389336125,0.0031064512348726,0.0614608324093095,0.0150096900246867,-0.0394666994240937,0.0078192533395462,0.0232506939171421,0.0078415891920663,0.0111880611821301,0.0029694615809842,0.0494988152811003,0.0724290065338127,0.0067851012606883,0.0746850345886904,0.014507782686361,0.0691479465490668,0.0069026513507643,0.0462678682835224,0.0066947627286153,0.0434765480638672,0.0041606899866965,0.0490198178334592,0.0050617631212322,0.0345271987843154,0.0038617366862428,0.0102265691868266,0.009343325980684,0.0470669011395808,0.0109560272593976,0.0,0.0028252927260925
HIP108468,5820.452119052302,4.424065611416585,1.0761951468743478,0.0249096427936654,4.333163233709114,0.0124053519862327,-0.0779245855849488,0.0017164394669288,-0.1227425072392037,0.0070385337836479,-0.0921481917526463,0.0025352147012522,-0.0953470142180384,0.0058674103008643,-0.1068370250697859,0.0029701834878025,-0.0991666407363112,0.0053152402279417,-0.0503154929824308,0.0096365921422228,-0.1028705079566558,0.003121208693116,-0.1041104342623814,0.0036933348256235,-0.0785710056094058,0.008522022511578,-0.0976301936402594,0.0111222292439301,-0.131242491583982,0.0037717538223586,-0.1170154506850953,0.0031877412052556,-0.0886666666666666,-0.0678906342009462,0.0018402243802858,-0.1178005828686727,0.0086050560659136,-0.1063585569192833,0.0050114072448041,-0.0961542929420124,0.0049637756451324,-0.0975328835658353,0.0018700697123985,-0.0927788529022706,0.0038095205942492,-0.0931662579818459,0.0041241325453057,-0.084389077686676,0.0078804433303259,-0.1121570248541046,0.0034498288311129,-0.1030538014105456,0.0034714925944492,0.0251292158255967,0.0023216264934852,-0.0196887058286581,0.0078452673841361,0.0109056096578993,0.0023849634737466,0.0077067871925071,0.0051411471465333,-0.0037832236592403,0.0020506349089228,0.0038871606742343,0.0048991584788414,0.0527383084281148,0.0093919058966407,0.0001832934538898,0.0018580199258375,-0.0010566328518357,0.002715948736378,0.0244827958011397,0.0086636757188186,0.0054236077702861,0.0108692216573793,-0.0281886901734363,0.0040661594043544,-0.0139616492745497,0.0022303196386765,0.0143871347438789,0.0351631672095994,0.0039562680952772,-0.0147467814581271,0.0092233666507511,-0.0033047555087376,0.004289213206719,0.0068995084685331,0.0042130355859664,0.0055209178447103,0.0027961025763933,0.0102749485082749,0.0023742698827442,0.0098875434286997,0.003052325536245,0.0186647237238695,0.0071565840025126,-0.009103223443559,0.0028645023968895,0.0,0.0024011047872254
HIP109821,5733.046649346018,4.110902069234453,1.03356411770066,0.0231918457590625,4.295157815517246,0.010678565199449,-0.0343597144482923,0.0030261644850809,-0.0233428728657347,0.0107794179682745,-0.0833293048503374,0.0031508630286273,-0.0890929837761164,0.0049451808261641,-0.1120346585316323,0.0031798731574729,-0.1052867386601467,0.0035739110035478,-0.0687404312461631,0.0032597031800352,-0.1065920914046506,0.0029130919387688,-0.1083257405715517,0.0031700051564118,-0.0660225654679947,0.0066389975638324,-0.1259270861110273,0.0083919056373003,-0.1303654139058473,0.0055608845921873,-0.1216660637303124,0.0031811274649103,-0.0536666666666664,-0.0372439528745947,0.0034566837356541,-0.0836667428956731,0.0098112136585189,-0.0803201838760882,0.0086981576047485,-0.0749809447023957,0.0068214071797395,-0.0825802443600955,0.0022952537910998,-0.0645837550408143,0.0045444332345172,-0.074124431791161,0.0046174329010315,-0.0821667364976221,0.0050789052594847,-0.0991348175787747,0.0040138895467652,-0.106848369977149,0.0030711747200522,0.0724886555288567,0.0032084953953915,0.0835054971114143,0.0112052350397127,0.0235190651268115,0.0028894676249742,0.0177553862010326,0.0040653661892622,-0.0051862885544833,0.0022740706056675,0.0015616313170022,0.0028475951033063,0.0381079387309859,0.0023603158411026,0.0002562785724983,0.0014506689878936,-0.0014773705944026,0.0019142291094347,0.0408258045091542,0.0067247266732512,-0.0190787161338782,0.0080399180025034,-0.0235170439286983,0.0056510383713481,-0.0148176937531634,0.0021627380453889,0.0531817033104826,0.0696044171025543,0.0046438511647899,0.0231816270814759,0.0102352412776191,0.0265281861010607,0.0082973468969696,0.0318674252747532,0.006290865019122,0.0242681256170534,0.0028314021017734,0.0422646149363346,0.0034667451721266,0.032723938185988,0.003698629003888,0.0246816334795269,0.0039193072611371,0.0077135523983743,0.003459839844084,0.0,0.0017464269867827
