,All_species,Err_All_species,Excluding_C_and_O,Err_Excluding_C_and_O,Tcond>1100K,Err_Tcond>1100K
HIP10175,-0.05393455936748338,0.02286065104228758,0.10561500980155347,0.03150350724735761,-0.10706899730304931,0.058506493736050776
HIP101905,0.35018003370773265,0.02385872237461137,0.2919519596846027,0.04034623551120691,-0.014326593501462532,0.06084593296374505
HIP102040,0.07505312528545424,0.022211712099782257,0.7217823572840995,0.04231480250562436,0.32593960231430424,0.09474054765858143
HIP102152,0.013783320164135571,0.020963795843311747,0.3306089656473091,0.041145427369419195,0.5079859513059265,0.05495859478561825
HIP10303,0.19395989410265382,0.01805285297193427,0.372256567727723,0.04542653872035635,0.47273567865785027,0.060023630673800406
HIP104045,0.15457246075615022,0.01719475050835663,0.11203538644623784,0.03062899937853397,0.009863610594741024,0.05458285965072549
HIP105184,0.10323335242078666,0.023765917819410707,0.4551308494609921,0.043707859528202074,0.27137052223813624,0.08041093854296802
HIP108158,-0.09170671141221809,0.031252462128901454,0.8264537687799202,0.0663521484254834,1.6633204731779403,0.08803948490646694
HIP108468,0.041960199740500456,0.014221151376631535,0.39920300433161715,0.0317009502232483,0.5375780494347248,0.05432112031311032
HIP109821,-0.046553966345146434,0.023387081241504994,0.46474661441483545,0.0390176105555103,1.4387488648449307,0.07161529250644111
HIP114328,0.08299566857222482,0.034002320151941774,0.05293276099823188,0.03523845183081194,0.42550767940573647,0.06099290335215689
HIP114615,-0.18992187772632613,0.019638007213547932,0.051279260474419,0.05228571129663925,0.09927551365075866,0.08118633241003928
HIP115577,-0.054915437123314065,0.029214554738016985,0.6330532946485817,0.06511344733063203,1.6863924137294568,0.08859657873635951
HIP116906,0.11958288564295229,0.022588919504309433,0.17813325733727442,0.026862621093879477,0.541820294998047,0.05382511040294844
HIP117367,0.005454370099468652,0.026173363844429927,-0.04935042210124062,0.03733866790277029,0.03640448445767011,0.06816161511986943
HIP118115,0.09931186712469754,0.016801542252835523,0.4905784986784019,0.03790401823001498,0.960871697749252,0.0642567077915955
HIP11915,-0.14488627722572067,0.027275160051797618,-0.054120280218841174,0.04201772622209096,-0.28340524552440566,0.06555282003278101
HIP14501,-0.17542597854782258,0.04179620810812556,0.5050478016297226,0.06922743302786034,2.6349715479728286,0.10945819338353785
HIP14614,-0.19309276618574972,0.012237733038939306,0.10926946838618973,0.04093276050883322,0.0716303499313368,0.0735904941036827
HIP15527,0.2470102499603207,0.021083326843524982,0.5111611370516786,0.02943732715783471,0.5933224400788495,0.04927246807104159
HIP18844,0.02146430342917496,0.02284914156027086,0.2558438247625014,0.04559342309502905,0.6311687617073679,0.06381573169430588
HIP1954,-0.07736463954499202,0.018118007085623968,0.02653656212094748,0.021116852321029504,0.1266765091581303,0.060682483694609324
HIP22263,0.20342562773138215,0.018976517752773994,0.5089688840664864,0.04501442199079213,0.23821481709626177,0.0952854012996721
HIP25670,0.10214473441771507,0.01852642140409994,0.1952348408591649,0.033355295973924996,0.09088954984795032,0.07322326999263894
HIP28066,-0.4646080920697994,0.021854918801403722,0.4049519832050163,0.08249348812915963,2.715875153605209,0.13417790808719376
